key	d	u	pp	ht	ft	digraph	trial	name
d	1479593438.47	1479593438.58	0.140974998474	0.111779928207	0.0291950702667	n-d	0	Joe
 	1479593438.55	1479593438.64	0.079391002655	0.0882179737091	-0.00882697105408	d- 	0	Joe
r	1479593438.69	1479593438.87	0.144592046738	0.175690889359	-0.0310988426208	 -r	0	Joe
a	1479593438.83	1479593438.97	0.135723829269	0.144435167313	-0.00871133804321	r-a	0	Joe
l	1479593438.97	1479593439.04	0.144596099854	0.0632510185242	0.0813450813293	a-l	0	Joe
l	1479593439.1	1479593439.18	0.127340078354	0.0801129341125	0.0472271442413	l-l	0	Joe
 	1479593439.32	1479593439.43	0.216298818588	0.111489057541	0.104809761047	l- 	0	Joe
a	1479593439.48	1479593439.61	0.15997505188	0.136320114136	0.0236549377441	 -a	0	Joe
l	1479593439.59	1479593439.65	0.112013101578	0.0637018680573	0.0483112335205	a-l	0	Joe
l	1479593439.73	1479593439.84	0.136244058609	0.111805915833	0.0244381427765	l-l	0	Joe
del	1479593440.13	1479593440.16	0.408661842346	0.0307440757751	0.377917766571	l-del	0	Joe
del	1479593440.24	1479593440.28	0.110902070999	0.0318429470062	0.0790591239929	del-del	0	Joe
del	1479593440.34	1479593440.41	0.0963890552521	0.071897983551	0.024491071701	del-del	0	Joe
del	1479593440.48	1479593440.54	0.135723829269	0.0639660358429	0.0717577934265	del-del	0	Joe
del	1479593440.61	1479593440.67	0.135997056961	0.055673122406	0.0803239345551	del-del	0	Joe
del	1479593440.74	1479593440.8	0.128260135651	0.0636188983917	0.0646412372589	del-del	0	Joe
n	1479593440.89	1479593441.01	0.151772022247	0.120350837708	0.0314211845398	del-n	0	Joe
 	1479593441.03	1479593441.13	0.137977838516	0.0964591503143	0.0415186882019	n- 	0	Joe
a	1479593441.33	1479593441.45	0.302099943161	0.119626045227	0.182473897934	 -a	0	Joe
l	1479593441.46	1479593441.53	0.127900123596	0.0642559528351	0.0636441707611	a-l	0	Joe
l	1479593441.58	1479593441.66	0.120127916336	0.0796790122986	0.0404489040375	l-l	0	Joe
 	1479593441.68	1479593441.8	0.0958240032196	0.127474069595	-0.0316500663757	l- 	0	Joe
t	1479593441.82	1479593442.06	0.139193058014	0.244590044022	-0.105396986008	 -t	0	Joe
e	1479593441.98	1479593442.08	0.164875030518	0.103529930115	0.0613451004028	t-e	0	Joe
 	1479593442.02	1479593442.08	0.0396490097046	0.0555138587952	-0.0158648490906	e- 	0	Joe
del	1479593442.56	1479593442.62	0.544272899628	0.0557849407196	0.488487958908	 -del	0	Joe
del	1479593442.68	1479593442.75	0.111947059631	0.0715019702911	0.0404450893402	del-del	0	Joe
h	1479593442.76	1479593442.9	0.0801179409027	0.143944978714	-0.0638270378113	del-h	0	Joe
e	1479593442.8	1479593442.94	0.0479550361633	0.135823011398	-0.087867975235	h-e	0	Joe
 	1479593443.14	1479593443.21	0.330693006516	0.0769910812378	0.253701925278	e- 	0	Joe
w	1479593443.33	1479593443.46	0.189538002014	0.135544061661	0.0539939403534	 -w	0	Joe
a	1479593443.54	1479593443.74	0.215660095215	0.199853897095	0.0158061981201	w-a	0	Joe
y	1479593443.68	1479593443.85	0.143533945084	0.162986040115	-0.0194520950317	a-y	0	Joe
 	1479593443.83	1479593443.93	0.144555091858	0.103711843491	0.0408432483673	y- 	0	Joe
t	1479593444.11	1479593444.22	0.276640892029	0.115109920502	0.161530971527	 -t	0	Joe
i	1479593444.29	1479593444.44	0.188040018082	0.142850875854	0.0451891422272	t-i	0	Joe
 	1479593444.36	1479593444.47	0.0712978839874	0.103834152222	-0.0325362682343	i- 	0	Joe
del	1479593444.8	1479593444.89	0.431888103485	0.0956659317017	0.336222171783	 -del	0	Joe
del	1479593444.96	1479593445.08	0.160048961639	0.119537115097	0.0405118465424	del-del	0	Joe
o	1479593445.27	1479593445.36	0.312051057816	0.0878729820251	0.22417807579	del-o	0	Joe
 	1479593445.44	1479593445.6	0.175983905792	0.160043001175	0.0159409046173	o- 	0	Joe
w	1479593445.57	1479593445.7	0.127621173859	0.128226995468	-0.000605821609497	 -w	0	Joe
i	1479593445.77	1479593445.85	0.200366973877	0.0793149471283	0.121052026749	w-i	0	Joe
l	1479593445.99	1479593446.07	0.216030836105	0.0815191268921	0.134511709213	i-l	0	Joe
d	1479593446.11	1479593446.24	0.125657081604	0.129893064499	-0.0042359828949	l-d	0	Joe
h	1479593446.6	1479593446.69	0.482268095016	0.0891888141632	0.393079280853	d-h	0	Joe
